Code,Parent Code,Full Code,Meaning,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder,,
004,CH94,CH94004,Fail to comply with a requirement of an appeal tribunal hearing,07/07/2000,,Section: 32(2)(c)  & (3),,CH940040,,
001,CI03,CI03001,Financial institution fail to comply with requirement of customer information order,01/11/2006,,Section: 34(1) & (2),,CI030010,,
002,CI03,CI03002,Make false/ misleading statement in purported compliance with customer information order,01/11/2006,,Section: 34(3) & (4),,CI030020,,
003,CI03,CI03003,Financial institution disclose types of info - customers account monitoring request,01/11/2006,,Section: 42(1) to (4),,CI030030,,
004,CI03,CI03004,Employee of financial institution disclose type of info - customers account monitoring request,01/11/2006,,Section: 42(1) to (3) & (5),,CI030040,,
005,CI03,CI03005,Failure to deliver driving licence / counterpart to Minister with 21 days,,,Section: 63(6) & (7),,CI030050,,
001,CI04,CI04001,Issue civil partnership schedule outside permitted time scale,05/12/2005,,Section: 31(1),,CI040010,,
002,CI04,CI04002,In capacity as actual / purported registrar officiated at the signing of an unauthorised civil partnership schedule,05/12/2005,,Section: 31(2),,CI040020,,
003,CI04,CI04003,Knowingly give false information by way of evidence in response to s.22(1) requirement,05/12/2005,,Section: 32(1)(a),,CI040030,,
004,CI04,CI04004,Knowingly give a false s.22(3) certificate,05/12/2005,,Section: 32(!)(b),,CI040040,,
005,CI04,CI04005,In capacity as actual / purported registrar officiated at the signing of an unauthorised Registrar General's licence,05/12/2005,,Section: 32(2),,CI040050,,
006,CI04,CI04006,Civil partnership registrar refuse / fail to comply with Act / Regs under section 36,05/12/2005,,Section: 33(1) & (2),,CI040060,,
007,CI04,CI04007,Refused / omitted to record information obliged by a duty to record under s.2(4),05/12/2005,,Section: 33(3( & (4),,CI040070,,
008,CI04,CI04008,Recorded in the register information re a civil partnership knowing that partnership to be void,05/12/2005,,Section: 33(5) & (6),,CI040080,,
009,CI04,CI04009,Recorded in register info re a civil partnership by signing Registrar General's licence knowing that partnership void,05/12/2005,,Section: 33(7) & (8),,CI040090,,
010,CI04,CI04010,Registrar sign civil partnership schedule in absence of civil partners,05/12/2005,,Section: 158(1) & (3),,CI040100,,
011,CI04,CI04011,Person not registrar officiates at signing of civil partnership in way to believe he is registrar,05/12/2005,,Section: 158(2) & (3),,CI040110,,
012,CI04,CI04012,To procure formation of civil partnership make s. 80(2) declaration/give notice/certificate knowing it is false,05/12/2005,,Section: 80(1)(a) & (3),,CI040120,,
013,CI04,CI04013,Make/cause making of false statement in civil partnership register re information required under Parts 2 or 5 of Act,05/12/2005,,Section: 80(1)(b) & (3),,CI040130,,
014,CI04,CI04014,Forbid issue of doc by falsely representing self whose consent to civil partnership between child and another required,05/12/2005,,Section: 80(1)(c) & (3),,CI040140,,
015,CI04,CI04015,In a declaration under Sch 1 para 5(1) made a para 6 statement knowing it to be false in a material particular,05/12/2005,,Section: 80(1)(d) & (3),,CI040150,,
001,CI06,CI06001,Display a prescribed badge/certificate not held for the purposes of an appeal under s.63,,,Section: 64(1)(a),,CI060010,,
002,CI06,CI06002,Display a badge/article/ certificate/document resembling a prescribed badge/certificate as likely to deceive,,,Section: 64(1)(b),,CI060020,,
001,CI37,CI37001,Contravening prohibition of films in production of which suffering has been caused to animals,01/01/1937,,Section: 1(1),,CI370010,,
001,CI98,CI98001,Fail to comply with Art 4 of the Council Regs re ear-tags,,05/04/2007,Section: 3 & 34(2),,CI980010,,
002,CI98,CI98002,Move cattle from holding on breach of Art 4,15/04/1998,,Section: 5 & 34(2),,CI980020,,
003,CI98,CI98003,Fail to comply with Art 4.5 of the council Re's re replacement of ear-tags,15/04/1998,,Section: 6 & 34(2),,CI980030,,
004,CI98,CI98004,Slaughter cattle with no ear-tag,15/04/1998,,Section: 7 & 34(2),,CI980040,,
005,CI98,CI98005,Consign cattle without an ear-tag for intra-Community trade,15/04/1998,,Section: 8 & 34(2),,CI980050,,
006,CI98,CI98006,Fail to apply ear-tag to cattle imported from a third world country w/I 20 days,15/04/1998,,Section: 9 & 34(2),,CI980060,,
007,CI98,CI98007,"Alter, obliterate, deface information on a cattle ear-tag",15/04/1998,,Section: 10(1) & 34(2),,CI980070,,
008,CI98,CI98008,Fail to keep cattle ear-tag in possession in a secure place,15/04/1998,,Section: !0(2) & 34(2),,CI980080,,
009,CI98,CI98009,Make unauthorised use of transitional provisions re ear-tags,15/04/1998,,Section: 11 & 34(2),,CI980090,,
010,CI98,CI98010,Fail to produce/surrender a cattle passport,15/04/1998,,Section: 12 & 34(2),,CI980100,,
011,CI98,CI98011,Fail to apply for a cattle passport in accordance with the regulations,15/04/1998,,Section: 13 & 34(2),,CI980110,,
012,CI98,CI98012,Move cattle brought in from o/s EU or NI/I of M/C Isles without a passport,15/04/1998,,Section: 16(1) & 34(2),,CI980120,,
013,CI98,CI98013,Fail to apply for passport for cattle brought in from o/s EU w/i 15 days,15/04/1998,,Section: 16(2) & 34(2),,CI980130,,
014,CI98,CI98014,Fail to apply for passport for cattle brought in from NI/I of M/C Isles w/i 15 days,15/04/1998,,Section: 16(3) & 34(2),,CI980140,,
015,CI98,CI98015,Fail to complete a cattle passport in accordance with regs,15/04/1998,,Section: 18 & 34(2),,CI980150,,
016,CI98,CI98016,Accept cattle into market for sale when not accompanied by a valid passport,15/04/1998,,Section: 19 & 34(2),,CI980160,,
017,CI98,CI98017,Slaughter cattle for human consumption o/s licensed slaughterhouse w/o valid passport,15/04/1998,,Section: 20 & 34(2),,CI980170,,
018,CI98,CI98018,Fail to produce a cattle passport to an inspector,15/04/1998,,Section: 21(1) & 34(2),,CI980180,,
019,CI98,CI98019,Fail to give cattle passport to transporter comply with requirement for the retention  of cattle passports,15/04/1998,,Section: 21(2) & 34(2),,CI980190,,
020,CI98,CI98020,Fail to hand cattle passport to purchaser/market operator,15/04/1998,,Section: 21(3) & 34(2),,CI980200,,
021,CI98,CI98021,"Fail to notify Minister of lost, stolen / destroyed cattle passport",15/04/1998,,Section: 22(1) & 34(2),,CI980210,,
022,CI98,CI98022,Holder of replacement cattle passport fail to inform Minister of finding original passport,15/04/1998,,Section: 22(5) & 34(2),,CI980220,,
023,CI98,CI98023,Keeper fail to return to Minister w/i 7 days all passports of cattle exported,15/04/1998,,Section: 25 & 34(2),,CI980230,,
024,CI98,CI98024,Keeper fail to return to Minister w/i 7 days cattle passport of dead animal,15/04/1998,,Section: 26(1) & 34(2),,CI980240,,
025,CI98,CI98025,Keeper fail return to Minister w/i 7 days cattle passport of lost/stolen animal,15/04/1998,,Section: 26(2) & 34(2),,CI980250,,
026,CI98,CI98026,Fail return to Minister w/i 7 days cattle passport of animal slaughtered for human consumption,15/04/1998,,Section: 27(3) & 34(2),,CI980260,,
027,CI98,CI98027,Fail to return to Minister w/i 21 days cattle passport of animal slaughtered for other than human consumption,15/04/1998,,Section: 27(4) & 34(2),,CI980270,,
028,CI98,CI98028,Alter / deface information entered by Minister/keeper on animal passport,15/04/1998,,Section: 28 & 34(2),,CI980280,,
029,CI98,CI98029,Fail to comply with Council Regulations re keeping of records,15/04/1998,,Section: 29 & 34(2),,CI980290,,
030,CI98,CI98030,Intentionally obstruct person acting in execution of Cattle Identification Regs 1998,15/04/1998,,Section: 32(1)(a) & 34(1),,CI980300,,
031,CI98,CI98031,Fail to give person acting in execution of Cattle ID Regs assistance/information,15/04/1998,,Section: 32(1)(b) & 34(1),,CI980310,,
032,CI98,CI98032,Give person acting in execution of Cattle Identification Regs 1998 false/misleading information,15/04/1998,,Section:  32(1)(c) & 34(2),,CI980320,,
001,CJ00,CJ00001,"Person disqualified from working with children knowingly applying for, offering to do, accepting or doing any work in a regulated position",11/01/2001,,Section: 35(1),,CJ000010,,
002,CJ00,CJ00002,"Person knowingly offering work in a regulated position to, or procuring work in a regulated position for, another who is disqualified from working with children",11/01/2001,,Section: 35(2)(a),,CJ000020,,
003,CJ00,CJ00003,Fail to remove disqualified person from working with children,11/01/2001,,Section: 35(2)(b),,CJ000030,,
001,CJ01,CJ01001,Contravene police direction preventing harassment at home,11/05/2001,,Section: 42(7),,CJ010010,,
002,CJ01,CJ01002,Consume intoxicating liquor contrary to requirement by constable,01/09/2001,,Section: 12(2)(a)  &  (4),,CJ010020,,
003,CJ01,CJ01003,Intentional obstruction of a constable in enforcement of a closure order for premises,01/12/2001,,Section: 25(3)(a),,CJ010030,,
004,CJ01,CJ01004,Intentional obstruction of an authorised person in enforcement of a closure order for premises,01/12/2001,,Section: 25(3)(b),,CJ010040,,
005,CJ01,CJ01005,Contravene a closure order - Licensed premises,01/12/2001,,Section: 25(4),,CJ010050,,
006,CJ01,CJ01006,Do an act to contravene a closure order - Licensed premises,01/12/2001,,Section: 25(5),,CJ010060,,
007,CJ01,CJ01007,Contravention of a travel restriction order - Leave UK,01/04/2002,,Section: 36(1),,CJ010070,,
008,CJ01,CJ01008,Contravene travel restriction order - fail to return to UK,01/04/2002,,Section: 36(2),,CJ010080,,
009,CJ01,CJ01009,Contravene travel restriction order - fail to surrender passport,01/04/2002,,Section: 36(3),,CJ010090,,
010,CJ01,CJ01010,Intimidation of a witness - proceedings other than criminal,01/08/2001,,Section: 39(1)  &  (4),,CJ010100,,
011,CJ01,CJ01011,Harming a witness - proceedings other than criminal,01/08/2001,,Section: 40(1),,CJ010110,,
013,CJ01,CJ01013,Place an advertisement relating to prostitution in/on the vicinity of a telephone box,01/08/2001,,Section: 46,,CJ010130,,
014,CJ01,CJ01014,Fail to comply in a designated public place with requirement by PC to surrender container believes to contain intoxicating liquor,01/09/2001,,Section: 12(2)(b)  &  (4),,CJ010140,,
015,CJ01,CJ01015,Harassment of a person in his home,01/07/2005,,Section: 42A,,CJ010150,,
016,CJ01,CJ01016,Fail to comply with police direction to leave vicinity,01/07/2005,,Section: 42(7A),,CJ010160,,
017,CJ01,CJ01017,Consume intoxicating liquor contrary to requirement by constable - offender under 16,26/01/2009,,Section: 12(2)(a)  &  (4),,CJ010170,,
001,CJ03,CJ03001,Editor/publisher/ proprietor of newspaper/periodical publish matter in contravention of s.82 order,20/11/2003,,Section: 82(2) & (9),,CJ030010,,
002,CJ03,CJ03002,Person other than editor/ publisher/ proprietor of newspaper/periodical publish matter in contravention of s.82 order,20/11/2003,,Section: 82(3) & (9),,CJ030020,,
001,CJ08,CJ08001,Possession of extreme pornographic images - an act which threatens a person’s life,26/01/2009,,Section: S63(1)(7)(a) & 67,,CJ080010,,
002,CJ08,CJ08002,Possession of extreme pornographic images - act result / likely to result in serious injury anus / breasts / genitals,26/01/2009,,Section: S63(1)(7)(b),,CJ080020,,
003,CJ08,CJ08003,Possession of extreme pornographic images - act which involves sexual interference with a corpse,26/01/2009,,Section: S63(1)(7)(c),,CJ080030,,
004,CJ08,CJ08004,Possession of extreme pornographic images - act of intercourse / oral sex with a dead / alive animal,26/01/2009,,Section: S63(1)(7)(D),,CJ080040,,
005,CJ08,CJ08005,Fail to comply with prohibition / restriction / condition contained in a violent offender order / interim order,26/01/2009,,Section: 113(1) & (6),,CJ080050,,
006,CJ08,CJ08006,Fail to comply with initial notification requirements under s108(1),26/01/2009,,Section: 113(2)(a) & (6),,CJ080060,,
007,CJ08,CJ08007,Fail to comply with requirements re notification of changes under s109(1) or 6(b),26/01/2009,,Section: 113(2)(a) & (6),,CJ080070,,
008,CJ08,CJ08008,"Fail to comply with the requirements of periodic notifications under s110(1),",26/01/2009,,Section: 113(2)(a) & (6),,CJ080080,,
009,CJ08,CJ08009,Fail to permit taking of fingerprint/photograph as required by s112(4),26/01/2009,,Section: 113(2)(a) & (6),,CJ080090,,
010,CJ08,CJ08010,Fail to comply with any regulation made under s111,26/01/2009,,Section: 113(2)(b) & (6),,CJ080100,,
011,CJ08,CJ08011,"Notify false information to police in purported compliance with s.108, 109, 110 or reg's under s.111",26/01/2009,,Section: 113(3) & (6),,CJ080110,,
012,CJ08,CJ08012,Cause without reasonable excuse on NHS premises a nuisance / disturbance,,,Section: 119,,CJ080120,,
001,CJ25,CJ25001,Making untrue statement to procure passport,,,Section: 36(1),,CJ250010,,
002,CJ25,CJ25002,Taking photograph in court,,,Section: 41(a),,CJ250020,,
004,CJ25,CJ25004,Making sketch in court,,,Section: 41(a),,CJ250040,,
005,CJ25,CJ25005,Publishing photograph taken in court,,,Section: 41(b),,CJ250050,,
007,CJ25,CJ25007,Publishing sketch made in court,,,Section: 41(b),,CJ250070,,
011,CJ25,CJ25011,Forgery of passport,,01/01/1901,Section: 36(2),,CJ250110,,
012,CJ25,CJ25012,Making document resembling banknote,,01/01/1901,Section: 38,,CJ250120,,
013,CJ25,CJ25013,Using document resembling banknote,,01/01/1901,Section: 38,,CJ250130,,
014,CJ25,CJ25014,Uttering document resembling banknote,,01/01/1901,Section: 38,,CJ250140,,
015,CJ25,CJ25015,Receive/detain/possess pension doc etc for debt,,,Section: 37,,CJ250150,,
001,CJ61,CJ61001,Harbouring escaped prisoner,,,Section: 22(2),,CJ610010,,
002,CJ61,CJ61002,Assisting escaped prisoner,,,Section: 22(2),,CJ610020,,
001,CJ67,CJ67001,Making false statement in statement tendered in evidence,,,Section: 89(1),,CJ670010,,
002,CJ67,CJ67002,Disorderly behaviour while drunk in a public place,,,Section: 91(1),,CJ670020,,
003,CJ67,CJ67003,Disorderly behaviour while drunk in a public place - offender under 16,26/01/2009,,Section: 91(1),,CJ670030,,
011,CJ67,CJ67011,Furnishing false statement,,01/01/1901,Section: 90,,CJ670110,,
001,CJ82,CJ82001,Breaches of youth custody supervision order,,01/01/1901,Section: 15,,CJ820010,,
002,CJ82,CJ82002,Breach of detention centre supervision order,,01/01/1901,Section: 15,,CJ820020,,
001,CJ87,CJ87001,Conspiracy to defraud,,,Section: 12(1),,CJ870010,,
002,CJ87,CJ87002,Failing to comply with requirement of Director of Serious Fraud Office,,,Section: 2(13),,CJ870020,,
003,CJ87,CJ87003,Making false or misleading statement to Director of Serious Fraud Office,,,Section: 2(14),,CJ870030,,
004,CJ87,CJ87004,Causing falsification of document relevant to complex or serious fraud investigation,,,Section: 2(16),,CJ870040,,
001,CJ88,CJ88001,Common assault,,,Section: 39,,CJ880010,,
002,CJ88,CJ88002,Torture,,,Section: 134(1),,CJ880020,,
003,CJ88,CJ88003,Having article with blade in public place,,01/01/1901,Section: 139(1),,CJ880030,,
004,CJ88,CJ88004,Having sharply pointed article in public place,,01/01/1901,Section: 139(1),,CJ880040,,
005,CJ88,CJ88005,Manufacturing offensive weapon,,,Section: 141(1),,CJ880050,,
006,CJ88,CJ88006,Selling offensive weapon,,01/01/1901,Section: 141(1),,CJ880060,,
007,CJ88,CJ88007,Hiring offensive weapon,,01/01/1901,Section: 141(1),,CJ880070,,
008,CJ88,CJ88008,Offering offensive weapon for sale,,01/01/1901,Section: 141(1),,CJ880080,,
009,CJ88,CJ88009,Offering offensive weapon for hire,,01/01/1901,Section: 141(1),,CJ880090,,
010,CJ88,CJ88010,Exposing offensive weapon for sale,,01/01/1901,Section: 141(1),,CJ880100,,
011,CJ88,CJ88011,Exposing offensive weapon for hire,,01/01/1901,Section: 141(1),,CJ880110,,
012,CJ88,CJ88012,Having offensive weapon for sale,,01/01/1901,Section: 141(1),,CJ880120,,
013,CJ88,CJ88013,Having offensive weapon for hire,,01/01/1901,Section: 141(1),,CJ880130,,
014,CJ88,CJ88014,Lending offensive weapon to another,,01/01/1901,Section: 141(1),,CJ880140,,
015,CJ88,CJ88015,Giving offensive weapon to another,,01/01/1901,Section: 141(1),,CJ880150,,
016,CJ88,CJ88016,Sell knife & article with blade/point to person under 18 years of age,01/10/2007,,Section: 141A(1),,CJ880160,,
114,CJ88,CJ88114,Importing offensive weapon,,,Section: 141(4),,CJ881140,,
115,CJ88,CJ88115,Possessing indecent photograph or pseudo-photograph of child,,,Section: 160(1),,CJ881150,,
116,CJ88,CJ88116,Assault and battery,,,Section: 39,,CJ881160,,
117,CJ88,CJ88117,Having article with blade or which was sharply pointed in public place,,11/02/2007,Section: 139(1),,CJ881170,,
118,CJ88,CJ88118,Having folding pocket knife with blade the cutting edge of which exceeds 3 inches in public place,,01/01/1901,Section: 139(1),,CJ881180,,
119,CJ88,CJ88119,Assisting another to retain or control benefit of criminal conduct,,30/12/2002,Section: 93A(1)(a),,CJ881190,,
120,CJ88,CJ88120,Assisting another to use proceeds of criminal conduct,,30/12/2002,Section: 93(A)(1)(b),,CJ881200,,
121,CJ88,CJ88121,Acquiring proceeds of criminal conduct,,30/12/2002,Section: 93B(1),,CJ881210,,
122,CJ88,CJ88122,Possessing proceeds of criminal conduct,,30/12/2002,Section: 93B(1),,CJ881220,,
123,CJ88,CJ88123,Using proceeds of criminal conduct,,30/12/2002,Section: 93B(1),,CJ881230,,
124,CJ88,CJ88124,Concealing proceeds of criminal conduct to retain them or to avoid prosecution,,30/12/2002,Section: 93C(1)(a),,CJ881240,,
125,CJ88,CJ88125,Converting property to retain proceeds of criminal conduct or to avoid prosecution,,30/12/2002,Section: 93C(1)(b),,CJ881250,,
126,CJ88,CJ88126,Transferring property to retain proceeds of criminal conduct or to avoid prosecution,,30/12/2002,Section: 93C(1)(b),,CJ881260,,
127,CJ88,CJ88127,Removing property from court's jurisdiction to retain proceeds of criminal conduct or to avoid prosecution,,30/12/2002,Section: 93C(1)(b),,CJ881270,,
128,CJ88,CJ88128,Concealing property of another to assist them in retaining proceeds of criminal conduct or in avoiding prosecution,,30/12/2002,Section: 93C(2),,CJ881280,,
129,CJ88,CJ88129,Disguising property of another to assist them in retaining proceeds of criminal conduct or in avoiding prosecution,,30/12/2002,Section: 93C(2),,CJ881290,,
130,CJ88,CJ88130,Converting property of another to assist them in retaining proceeds of criminal conduct or in avoiding prosecution,,30/12/2002,Section: 93C(2),,CJ881300,,
131,CJ88,CJ88131,Transferring property of another to assist them in retaining proceeds of criminal conduct or in avoiding prosecution,,30/12/2002,Section: 93C(2),,CJ881310,,
132,CJ88,CJ88132,Removing property of another from court's jurisdiction to assist them in retaining proceeds of criminal conduct or in avoiding prosecution,,30/12/2002,Section: 93C(2),,CJ881320,,
133,CJ88,CJ88133,Give tip-off likely to prejudice money laundering investigation,,30/12/2002,Section: 93D(1),,CJ881330,,
134,CJ88,CJ88134,Give tip-off likely to prejudice money laundering investigation after disclosure had been made to constable,,30/12/2002,Section: 93D(2),,CJ881340,,
135,CJ88,CJ88135,Give tip-off likely to prejudice money laundering investigation after disclosure had been made in the course of employment,,23/02/2003,Section: 93D(3),,CJ881350,,
136,CJ88,CJ88136,Having an article with a blade or point on school premises,,11/02/2007,Section: 139A(1),,CJ881360,,
137,CJ88,CJ88137,Possession of offensive weapons without lawful authority or reasonable excuse on school premises,,,Section: 139A(2),,CJ881370,,
138,CJ88,CJ88138,Sell knife / article / axe with blades/points to persons U 16,,30/09/2007,Section: 141A(1),,CJ881380,,
139,CJ88,CJ88139,Offering offensive weapon for sale or hire,,,Section: 141(1),,CJ881390,,
140,CJ88,CJ88140,Exposing offensive weapon for sale or hire,,,Section: 141(1),,CJ881400,,
141,CJ88,CJ88141,Having offensive weapon for sale or hire,,,Section: 141(1),,CJ881410,,
142,CJ88,CJ88142,Lending or giving offensive weapon to another,,,Section: 141(1),,CJ881420,,
143,CJ88,CJ88143,Selling or hiring an offensive weapon,,,Section: 141(1),,CJ881430,,
144,CJ88,CJ88144,Have blade/article  which was sharply pointed in public place,12/02/2007,,Section: 139(1) & (6),,CJ881440,,
145,CJ88,CJ88145,Having an article with a blade or point on school premises,12/02/2007,,Section: 139A(1),,CJ881450,,
001,CJ90,CJ90001,Manufacturing scheduled substance,,,Section: 12,,CJ900010,,
002,CJ90,CJ90002,Supplying scheduled substance to another person,,,Section: 12,,CJ900020,,
003,CJ90,CJ90003,Failing to comply with Secretary of State's regulation regarding documentation record keeping labelling etc,,,Section: 13,,CJ900030,,
004,CJ90,CJ90004,Conceal or disguise own proceeds of drug trafficking,,01/01/1901,Section: 14(1)(a),,CJ900040,,
005,CJ90,CJ90005,"Convert, transfer or remove from jurisdiction own proceeds of drug trafficking",,01/01/1901,Section: 14(1)(b),,CJ900050,,
006,CJ90,CJ90006,Conceal or disguise another's proceeds of drug trafficking,,01/01/1901,Section: 14(2)(a),,CJ900060,,
007,CJ90,CJ90007,"Convert, transfer or remove from jurisdiction another's proceeds of drug trafficking",,01/01/1901,Section: 14(2)(b),,CJ900070,,
008,CJ90,CJ90008,Possess a 'class A' controlled drug on board a ship,01/01/1990,,Section: 19(2)(a) & 4(a),,CJ900080,,
009,CJ90,CJ90009,Possess a 'class B' controlled drug on board a ship,12/03/1997,,Section: 19(2)(a) & 4(b),,CJ900090,,
010,CJ90,CJ90010,Possess a 'class C' controlled drug on board a ship,12/03/1997,,Section: 19(2)(a) & 4(c),,CJ900100,,
011,CJ90,CJ90011,Knowingly concerned in carrying/concealing a 'class A' controlled drug on board a ship,12/03/1997,,Section: 19(2)(b) & 4(a),,CJ900110,,
012,CJ90,CJ90012,Knowingly concerned in carrying/concealing a 'class B' controlled drug on board a ship,12/03/1997,,Section: 19(2)(b) & 4(b),,CJ900120,,
013,CJ90,CJ90013,Knowingly concerned in carrying/concealing a 'class C' controlled drug on board Ship,12/03/1997,,Section: 19(2)(b) & 4(c),,CJ900130,,
014,CJ90,CJ90014,Possession of unspecified class of controlled drug on board a ship,12/03/1997,,Section: 19(2)(a),,CJ900140,,
015,CJ90,CJ90015,Knowingly concerned in carrying or concealing an unspecified class of drug on board British Ship,12/03/1997,,Section: 19(2)(b),,CJ900150,,
001,CJ91,CJ91001,Short term prisoner failing to comply with licence condition when released from prison,,01/01/1901,Section: 38(1),,CJ910010,,
002,CJ91,CJ91002,Young offender failing to comply with supervision requirement,,,Section: 65(6),,CJ910020,,
003,CJ91,CJ91003,Convicted offender failing to supply statement of means as required under s20(1) of this Act,,20/08/2000,Section: 20(2),,CJ910030,,
004,CJ91,CJ91004,Convicted offender knowingly furnishing false statement of means,,20/08/2000,Section: 20(3)(a),,CJ910040,,
005,CJ91,CJ91005,Convicted offender recklessly furnishing false statement of means,,20/08/2000,Section: 20(3)(b),,CJ910050,,
006,CJ91,CJ91006,Convicted offender failing to disclose material fact in statement of means,,20/08/2000,Section: 20(3)(c),,CJ910060,,
007,CJ91,CJ91007,Assaulting court security officer,,31/03/2005,Section: 78(1),,CJ910070,,
008,CJ91,CJ91008,Resisting or wilfully obstructing court security officer,,31/03/2005,Section: 78(2),,CJ910080,,
009,CJ91,CJ91009,Assaulting prisoner custody officer (acting in pursuance of prisoner escort arrangements),,,Section: 90(1),,CJ910090,,
010,CJ91,CJ91010,Assaulting prisoner custody officer (on duty at contracted-out prison),,,Section: 90(1),,CJ910100,,
011,CJ91,CJ91011,Resisting or wilfully obstructing prisoner custody officer (acting in pursuance of prisoner escort arrangements),,,Section: 90(3),,CJ910110,,
012,CJ91,CJ91012,Resisting or wilfully obstructing prisoner custody officer (on duty at contracted-out prison),,,Section: 90(3),,CJ910120,,
013,CJ91,CJ91013,Disclosing without authorisation information about prisoner,,,Section: 91(1)  &  (2),,CJ910130,,
014,CJ91,CJ91014,Assaulting prisoner custody officer (acting in pursuance of prisoner escort arrangements) whilst possessing firearm,,01/01/1901,Section: 90(1)  &  (2),,CJ910140,,
015,CJ91,CJ91015,Assaulting prisoner custody officer (on duty at contracted-out prison) whilst possessing firearm,,,Section: 90(1)  &  (2),,CJ910150,,
016,CJ91,CJ91016,Assault prisoner custody officer (acting in pursuance of prisoner escort arrangement) possess imitation f/a,,,Section: 90(1)  &  (2),,CJ910160,,
017,CJ91,CJ91017,Assaulting prisoner custody officer (on duty at contracted-out prison) whilst possessing imitation firearm,,,Section: 90(1)  &  (2),,CJ910170,,
018,CJ91,CJ91018,Assaulting prisoner custody officer (acting in pursuance of prisoner escort arrangements) whilst possessing shotgun,,,Section: 90(1)  &  (2),,CJ910180,,
019,CJ91,CJ91019,Assaulting prisoner custody officer (on duty at contracted-out prison) whilst possessing shotgun,,,Section: 90(1)  &  (2),,CJ910190,,
020,CJ91,CJ91020,Assaulting prisoner custody officer (acting in pursuance of prisoner escort arrangements) whilst possessing imitation shotgun,,01/01/1901,Section: 90(1)  &  (2),,CJ910200,,
021,CJ91,CJ91021,Assaulting prisoner custody officer (on duty at contracted-out prison) whilst possessing imitation shotgun,,,Section: 90(1)  &  (2),,CJ910210,,
022,CJ91,CJ91022,Assaulting prisoner custody officer (acting in pursuance of prisoner escort arrangements) whilst possessing air weapon,,,Section: 90(1)  &  (2),,CJ910220,,
023,CJ91,CJ91023,Assaulting prisoner custody officer (on duty at contracted-out prison) whilst possessing air weapon,,,Section: 90(1)  &  (2),,CJ910230,,
024,CJ91,CJ91024,Assault prisoner custody officer (prisoner escort arrangements) possessing imitation air weapon,,,Section: 90(1)  &  (2),,CJ910240,,
025,CJ91,CJ91025,Assaulting prisoner custody officer (on duty at contracted-out prison) whilst possessing imitation air weapon,,,Section: 90(1)  &  (2),,CJ910250,,
026,CJ91,CJ91026,Knowingly making false statement when applying for prisoner custody officer certificate,,01/01/1901,Section: Sch 10 Para 5(a),,CJ910260,,
027,CJ91,CJ91027,Recklessly making false statement when applying for prisoner custody officer certificate,,01/01/1901,Section: Sch 10 Para 5(b),,CJ910270,,
028,CJ91,CJ91028,Breach of a combination order,,,Section: Sch 2(3)(1),,CJ910280,,
029,CJ91,CJ91029,Breach of community service order,,01/01/1901,Section:,,CJ910290,,
030,CJ91,CJ91030,Breach of curfew order,,01/01/1901,Section:,,CJ910300,,
031,CJ91,CJ91031,Breach of attendance centre order,,01/01/1901,Section:,,CJ910310,,
032,CJ91,CJ91032,Breach of supervision order,,01/01/1901,Section:,,CJ910320,,
033,CJ91,CJ91033,In response to official request knowingly furnishing false statement of financial circumstances,03/02/1995,,Section: 20A(1),,CJ910330,,
034,CJ91,CJ91034,Assaulting prisoner custody officer (contracted out functions at directly managed prison),,,Section: 90(1),,CJ910340,,
035,CJ91,CJ91035,Resisting or wilfully obstructing prisoner custody officer (contracted out functions at directly managed prison),,,Section: 90(3),,CJ910350,,
036,CJ91,CJ91036,In response to official request recklessly furnish false statement of financial circumstances,03/02/1995,,Section: 20A(1),,CJ910360,,
037,CJ91,CJ91037,In response to official request fail disclose material fact in statement of financial circumstances,03/02/1995,,Section: 20A(1),,CJ910370,,
038,CJ91,CJ91038,Knowingly making false statement when applying for prisoner custody officer certificate,,,Section: Sch 10 Para 5(b),,CJ910380,,
039,CJ91,CJ91039,Fail to comply with conditions specified in the release licence following recall to prison,,04/04/2005,Section: 40A(4),,CJ910390,,
040,CJ91,CJ91040,Fail comply with drug treatment / testing requirement as proposed to be amended by court,,,Section: 14A(5),,CJ910400,,
041,CJ91,CJ91041,Fail provide information required by a court by virtue of section 24(2)(aa),05/04/2004,,Section: 24(2)(aa) & (2A),,CJ910410,,
042,CJ91,CJ91042,In providing info required by a court under s.24(2)(aa) made a statement knowing it was false,05/04/2004,,Section: 24(2)(aa) & 24(2B)(a),,CJ910420,,
043,CJ91,CJ91043,In providing info required by a court under s.24(2)(aa) recklessly made statement knowing it was false,05/04/2004,,Section: 24(2)(aa) & 24(2B)(b),,CJ910430,,
044,CJ91,CJ91044,In providing info required by a court under s.24(2)(aa) knowingly fail to disclose material fact,05/04/2004,,Section: 24(2)(aa) & 24(2B)(c),,CJ910440,,
045,CJ91,CJ91045,Charged with an offence fail to furnish statement of financial circumstances in response to official request,05/04/2004,,Section: 20A(1A),,CJ910450,,
046,CJ91,CJ91046,Long or short term prisoner fail to comply with licence condition when released from prison,,01/08/2007,Section: 39(1),,CJ910460,,
047,CJ91,CJ91047,Make off while subject to a section 86A(2)(b) requirement to await the arrival of a constable,01/11/2007,,Section: 86A,,CJ910470,,
001,CJ93,CJ93001,Insider dealing by acquiring price-affected securities on regulated market,11/06/1996,,Section: 52(1),,CJ930010,,
